"","","","","","","","","PRE-NURSING"
"BIOL​ 160 - ​Microbiology for Health Sciences (4.00)","","","","","","","","PRE-NURSING
← BMS​ 127 - ​Medical Microbiology (4.00)"
"BIOL​ 175 - ​Introduction to Human Anatomy & Physiology I (4.00)","","","","","","","","← BMS​ 107 - ​Human Anatomy (4.00)"
"","","","","","","","","--- And ---"
"","","","","","","","","BMS​ 108 - ​Human Physiology (4.00)"
"BIOL​ 176 - ​Introduction to Human Anatomy & Physiology II (4.00) ← BMS​ 107 - ​Human Anatomy (4.00)","","","","","","","",""
"","","","","","","","","--- And ---"
"","","","","","","","","BMS​ 108 - ​Human Physiology (4.00)"
"CHEM​ 105 - ​General, Organic, and Biochemistry for Life (4.00)","","","","","","","","← No Course Articulated"
"CHEM​ 105L - ​General, Organic, and Biochemistry for Life Laboratory","","","","","","","","← No Course Articulated"
"(1.00)","","","","","","","",""
"MATH​ 200 - ​Mathematical Statistics for Nursing (3.00)","","","","","","","","← No Course Articulated"
"","","","","","","","","--- Or ---"
"ANY CSUGE CERTIFIED B4 STATISTICS COURSE","","","","","","","","← No Course Articulated"
"GEO​ 102 - ​Oral Communication (3.00)","","","","","","","","← No Course Articulated"
"","","","","","","","","--- Or ---"
"CSU GE Area: ​A1 - ​ Oral Communication","","","","","","","","← COMM​ 121 - ​Interpersonal Communication (3.00)"
"","","","","","","","","COMM​ 131H - ​Fundamentals of Public Speaking, Honors (3.00)"
"","","","","","","","","COMM​ 141 - ​Small Group Communication (3.00)"
"","","","","","","","","COMM​ 131 - ​Fundamentals of Public Speaking (3.00)"
"","","","","","","","","COMM​ 161 - ​Communication in Organizations (3.00)"
"","","","","","","","","COMM​ 121H - ​Interpersonal Communication, Honors (3.00)"
"","","","","","","","","COMM​ 235 - ​Argumentation and Debate (3.00)"
"","","","","","","","","COMM​ 122 - ​Mediated Interpersonal Communication (3.00)"
"","","","","","","","","COMM​ 162 - ​Mediated Communication in Organizations (3.00)"
"CSU GE Area: ​A2 - ​ Written Communication","","","","","","","","← ENG​ 110H - ​Composition and Reading, Honors (4.00)"
"","","","","","","","","ENG​ 110 - ​Composition and Reading (4.00)"
"CSU GE Area: ​A3 - ​ Critical Thinking","","","","","","","","← ENG​ 111H - ​Critical Thinking and Composition through Literature,"
"","","","","","","","","Honors (3.00)"
"","","","","","","","","ENG​ 115 - ​Argumentative Writing and Critical Thinking (3.00)"
"","","","","","","","","PHIL​ 205 - ​Introduction to Logic (3.00)"
"","","","","","","","","ENG​ 111 - ​Critical Thinking and Composition Through Literature"
"","","","","","","","","(3.00)"
"","","","","","","","","COMM​ 235 - ​Argumentation and Debate (3.00)"
"","","","","","","","","ENG​ 103 - ​Critical Thinking and Reading (3.00)"
"","","","","","","","","PHIL​ 111 - ​Critical Thinking and Writing in Philosophy (3.00)"
"","","","","","","","","SUPPORT COURSES"
"ANTH​ 200 - ​Cultural Anthropology (3.00)","","","","","","","","SUPPORT COURSES
← ANTH​ 103 - ​Introduction to Cultural Anthropology (3.00)"
"PSYC​ 100 - ​Introduction to Psychology (3.00)","","","","","","","","← PSY​ 100 - ​General Psychology (3.00)"
"","","","","","","","","--- And ---"
"","","","","","","","","PSY​ 100H - ​General Psychology, Honors (4.00)"
"","","","","","","","","OPTIONAL SUBSTITUTE FOR ABSN OR RN-TO-BSN OPTIONS ONLY"
"","","","","","","","","​ **REFER TO TOP OF AGREEMENT** 
OPTIONAL SUBSTITUTE FOR ABSN OR RN-TO-BSN OPTIONS ONLY"
"","","","","","","","","​ Acceptable substitute"
