,univ,cc
0,nan,Effective during the 2020-2021 Academic Year
1,"To: California Polytechnic University, Pomona",From: Santa Barbara City College
2,"2020-2021 General Catalog, Semester","2020-2021 General Catalog, Semester"
3,nan,"Early Childhood Studies, B.A."
4,nan,THIS MAJOR ACCEPTS THE ASSOCIATE DEGREE FOR TRANSFER (ADT)
5,A California Community College student who has earned the ADT (AA-T or AS-T) is granted priority admission to the CSU into a “similar”,THIS MAJOR ACCEPTS THE ASSOCIATE DEGREE FOR TRANSFER (ADT)
6,"baccalaureate degree program with a guarantee of junior standing, as long as the student meets all prescribed admission requirements.  ADT",nan
7,students will only be required to complete 60 additional semester units to complete the requirements for the “similar” baccalaureate degree.,nan
8,ADT roadmaps for completing the 60 additional semester units are available here:,nan
9,https://www.cpp.edu/academic-programs/academic-advising/tools/sheets-roadmaps/2020-2021/index.shtml,nan
10,Additional ADT information: www.adegreewithaguarantee.com,nan
11,nan,TRANSFER AND ADMISSION REQUIREMENTS
12,CSU Eligibility,TRANSFER AND ADMISSION REQUIREMENTS
13,Transfers must meet the minimum California State University eligibility requirements listed below as the first step in being considered for admission.,nan
14,Cal Poly Pomona requires all transfers to complete the following by spring prior to fall enrollment or by summer for spring enrollment:,nan
15,Must be in good academic standing at the last institution attended.,nan
16,Must have minimum 2.00 GPA in transferable coursework.,nan
17,Must have at least minimum of 60 transferable semester units (90 quarter).,nan
18,"30 of the 60 semester units (45 quarter), must be in General Education.",nan
19,"Completion of the ""Golden Four.""",nan
20,Supplemental criteria may be required for impacted majors.,nan
21,Cal Poly Pomona does not accept students who have completed a Bachelor's degree and are interested in a 2nd Bachelor's.  We encourage you to,nan
22,consider a Graduate degree.,nan
23,Golden Four,nan
24,"A1: Oral Communication: Complete, with a grade of ""C-"" or higher, a basic public speaking course or other communication course.",nan
25,"A2: English Composition: Complete, with a grade of ""C-"" or higher, an English composition course that emphasizes essay writing or reading and",nan
26,writing concurrently.,nan
27,"A3: Critical Thinking: Complete, with a grade of ""C-"" or higher, a second semester composition or writing course, or a course in reasoning and",nan
28,effective argumentative writing.,nan
29,[All Engineering majors are exempt from completing Critical Thinking as a part of the admission requirements.  The Critical Thinking GE A3 requirement is,nan
30,completed through a series of upper- and lower-division design courses within the major requirements.],nan
31,"B4: Mathematics/Quantitative Reasoning: Complete, with a grade of ""C-"" or higher, a mathematics course above the level of intermediate algebra.",nan
32,Not all courses listed on this articulation agreement may be required for admission.  Please refer to the admissions website below for more information regarding,nan
33,minimum admission requirements.,nan
34,https://www.cpp.edu/~admissions/transfer/requirements.shtml,nan
35,nan,GENERAL EDUCATION REQUIREMENTS
36,"Transfer students may satisfy General Education requirements by completing the CSU General Education Breadth Certification pattern,",GENERAL EDUCATION REQUIREMENTS
37,"the Intersegmental General Education Transfer Curriculum (IGETC), or by completing an Associate Degree for Transfer (AA-T/AS-T).",nan
38,"Transfer students are advised to take courses required for their major as part of CSU General Education Breadth, as specified by each",nan
39,"major, to achieve the minimum units to degree.",nan
40,Major courses and campus-wide required courses that are approved for GE credit shall also fulfill (double count for) the GE requirement. [EO 1100],nan
41,"For more information regarding Associate Degree for Transfer, please see your California community college counselor or visit:",nan
42,www.adegreewithaguarantee.com/,nan
43,nan,AMERICAN CULTURAL PERSPECTIVES (ACP) REQUIREMENT
44,The American Cultural Perspectives (ACP) Requirement is a graduation requirement. Courses satisfying this requirement may be part of either a,AMERICAN CULTURAL PERSPECTIVES (ACP) REQUIREMENT
45,"student's General Education program, major, or minor. These courses may also be taken as electives. This requirement will not constitute an additional",nan
46,"unit load on the degree requirements of students in any program. This requirement was implemented fall quarter, 1995.",nan
47,To satisfy this requirement a student must take at least one four-unit course. Courses that meet the American Cultural Perspectives Requirement,nan
48,should satisfy all of the following criteria:,nan
49,"Introduce theoretical perspectives and nonwestern/nontraditional approaches for studying gender, ethnicity, and class.",nan
50,"Include the study of at least one other marker of social difference, such as sexual orientation, religious affiliation, national origin, etc.",nan
51,Include substantive materials (books/films/lectures/articles/etc.) by and/or about members of at least two of the following socio-cultural groups:,nan
52,"African Americans, Native Americans, Chicano/Latino Americans, Asian Americans, Pacific Islands Americans, Middle Eastern Americans, and",nan
53,European/white ethnic Americans.,nan
54,Address intra-cultural differences as well as inter-cultural commonalities between groups that collectively represent the American population. The,nan
55,"commonalities and differences may be examined by focusing on diverse cultural practices, environmental ethics, political histories, religious beliefs,",nan
56,or means of artistic expression.,nan
57,The ACP Requirement section below contains articulated transfer courses approved to satisfy the ACP requirement at CPP.,nan
58,nan,GRADUATION WRITING TEST REQUIREMENT
59,The California State University Graduate Writing Assessment Requirement (GWAR) has been temporarily suspended.,GRADUATION WRITING TEST REQUIREMENT
60,https://calstate.policystat.com/policy/6945331/latest/,nan
61,nan,ADDITIONAL DEGREE REQUIREMENTS
62,"This by-major articulation agreement is not representative of all courses required for the undergraduate degree, such as upper-division courses",ADDITIONAL DEGREE REQUIREMENTS
63,numbered 3000 and above.  Please refer to the online University Catalog webpage below for a comprehensive list of undergraduate degree,nan
64,requirements.,nan
65,https://catalog.cpp.edu/,nan
66,nan,MAJOR REQUIRED
67,ECS 1000 - Child Growth and Development (3.00),MAJOR REQUIRED← ECE 120 - Child Growth and Development for Educators (3.00)
68,"ECS 1100 - Child, Family and Community (3.00)","← ECE 102 - Child, Family and Community (3.00)"
69,ECS 2010 - Early Childhood Observation and Assessment (2.00),← ECE 128 - Observation and Assessment (3.00)
70,--- And ---,nan
71,ECS 2010A - Early Childhood Observation and Assessment Activity,nan
72,(1.00),nan
73,ECS 2100 - Early Childhood Practicum I (1.00),← ECE 104 - Foundations of ECE II Practicum (5.00)
74,--- And ---,nan
75,ECS 2100A - Early Childhood Clinical Practicum I Activity (2.00),nan
76,ECS 2200 - Principles and Practices of Teaching Young Children (3.00) ← ECE 103 - Foundations of ECE I Principles (5.00),nan
77,ECS 2350 - Introduction to Early Childhood Curriculum (3.00),← ECE 108 - Creative Learning and Curriculum (3.00)
78,nan,MAJOR REQUIRED ELECTIVES AND EMPHASIS
79,nan,Select 18 - 23 Unit(s) from the followingMAJOR REQUIRED ELECTIVES AND EMPHASIS
80,nan, Only lower division courses listed
81,nan, Select courses in consultation with an advisor
82,nan, **REFER TO CATALOG**
83,nan,MAJOR REQUIRED ELECTIVES
84,nan,Select 3 - 6 Unit(s) from the followingMAJOR REQUIRED ELECTIVES
85,nan, Only lower division courses listed
86,nan, Select courses in consultation with an advisor
87,"ECS 1200 - Health, Safety and Nutrition for Early Childhood Education","← ECE 121 - Health, Safety and Nutrition for Young Children (3.00)"
88,(3.00),nan
89,ECS 2300 - Early Childhood Teaching in a Diverse Society (3.00),← ECE 132 - Teaching in a Diverse Society (3.00)
90,nan,Select 15 Unit(s) from the followingLEADERSHIP IN EARLY CHILDHOOD TEACHING EMPHASIS
91,nan, Upper division; Not articulated
92,nan,EARLY CHILDHOOD EQUITY AND PROGRAM ADMINISTRATION EMPHASIS
93,nan,Select 17 Unit(s) from the followingEARLY CHILDHOOD EQUITY AND PROGRAM ADMINISTRATION EMPHASIS
94,nan, Only lower division courses listed
95,ECS 2400 - Administration of Early Childhood Programs I (3.00),← No Course Articulated
96,ECS 2500 - Administration of Early Childhood Programs II (3.00),← No Course Articulated
97,ECS 2600 - Supervising Adults in Early Childhood Settings (2.00),← No Course Articulated
98,EWS 2900 - Multicultural Leadership (3.00),← No Course Articulated
99,nan,INFANT/TODDLER PROGRAM AND PRACTICES EMPHASIS
100,nan,Select 15 Unit from the followingINFANT/TODDLER PROGRAM AND PRACTICES EMPHASIS
101,nan, Upper division; Not articulated
102,nan,GENERAL EMPHASIS
103,nan,Select 15 Unit(s) from the followingGENERAL EMPHASIS
104,nan, Department chair approval required
105,nan, Select courses in consultation with an advisor
106,nan,AMERICAN CULTURAL PERSPECTIVES (ACP) REQUIREMENT
107,nan,Select 1 Course(s) from the followingAMERICAN CULTURAL PERSPECTIVES (ACP) REQUIREMENT
108,nan, Only lower division courses listed
109,ANT 1020 - Introduction to Cultural Anthropology (3.00),← ANTH 103 - Introduction to Cultural Anthropology (3.00)
110,ENG 2320 - American Literature Since 1865 (3.00),← ENG 226 - American Literature: 1865 to Present (3.00)
111,nan,--- Or ---
112,nan,"ENG 226H - American Literature, Honors (4.00)"
113,ENG 2330 - Multicultural Literature in the U.S. (3.00),← No Course Articulated
114,EWS 1400 - Introduction to Ethnic Studies (3.00),← No Course Articulated
115,EWS 1450 - Introduction to Gender Studies (3.00),← SOC 127 - Introduction to Women's Studies (3.00)
116,EWS 2900 - Multicultural Leadership (3.00),← No Course Articulated
117,"HST 2202 - United States History, 1877 to Present (3.00)",← HIST 102 - History of the U.S. since 1865 (3.00)
118,nan,--- Or ---
119,nan,"HIST 102H - History of the United States since 1865, Honors (4.00)"
120,HST 2201 - United States History to 1877 (3.00),← HIST 101 - History of the U.S. to 1877 (3.00)
121,Acceptable substitute,nan
122,IGE 2200 - Encountering Difference: Culture and Power (3.00),← No Course Articulated
123,"IGE 2300 - Ways of Doing: Culture, Society, and the Sciences (3.00)",← No Course Articulated
124,NTR 2280 - Food and Culture (3.00),← No Course Articulated
125,[ACP]: Additional course(s) approved to satisfy the American Cultural,← No Course Articulated
126,Perspectives requirement.,nan
127,nan,END OF AGREEMENT
